Date,Product,Category,Quantity,Price,City,Cost,Profit
2026-01-01,Laptop,Electronics,5,50000,Hyderabad,40000,10000
2026-01-02,Mouse,Accessories,20,700,Delhi,400,300
2026-01-03,Keyboard,Accessories,15,1500,Hyderabad,900,600
2026-01-04,Monitor,Electronics,8,15000,Bangalore,11000,4000
2026-01-05,Laptop,Electronics,12,50000,Delhi,40000,10000
2026-01-06,Headphones,Accessories,25,2500,Hyderabad,1500,1000
2026-01-07,Mouse,Accessories,30,700,Bangalore,400,300
2026-01-08,Chair,Furniture,4,12000,Delhi,8000,4000
2026-01-09,Desk,Furniture,3,25000,Hyderabad,18000,7000
2026-01-10,Laptop,Electronics,7,50000,Bangalore,40000,10000
2026-01-11,Monitor,Electronics,10,15000,Hyderabad,11000,4000
2026-01-12,Keyboard,Accessories,18,1500,Delhi,900,600
2026-01-13,Laptop,Electronics,9,50000,Hyderabad,40000,10000
2026-01-14,Mouse,Accessories,40,700,Delhi,400,300
2026-01-15,Headphones,Accessories,22,2500,Bangalore,1500,1000
2026-01-16,Chair,Furniture,6,12000,Hyderabad,8000,4000
2026-01-17,Desk,Furniture,2,25000,Delhi,18000,7000
2026-01-18,Laptop,Electronics,15,50000,Hyderabad,40000,10000
2026-01-19,Monitor,Electronics,5,15000,Bangalore,11000,4000
2026-01-20,Mouse,Accessories,50,700,Hyderabad,400,300
2026-01-21,Keyboard,Accessories,12,1500,Delhi,900,600
2026-01-22,Laptop,Electronics,11,50000,Delhi,40000,10000
2026-01-23,Headphones,Accessories,30,2500,Hyderabad,1500,1000
2026-01-24,Chair,Furniture,8,12000,Bangalore,8000,4000
2026-01-25,Desk,Furniture,5,25000,Hyderabad,18000,7000
2026-01-26,Laptop,Electronics,14,50000,Hyderabad,40000,10000
2026-01-27,Monitor,Electronics,12,15000,Delhi,11000,4000
2026-01-28,Mouse,Accessories,25,700,Hyderabad,400,300
2026-01-29,Keyboard,Accessories,20,1500,Bangalore,900,600
2026-01-30,Laptop,Electronics,8,50000,Delhi,40000,10000
2026-01-31,Headphones,Accessories,35,2500,Hyderabad,1500,1000
2026-02-01,Laptop,Electronics,16,50000,Hyderabad,40000,10000
2026-02-02,Mouse,Accessories,45,700,Delhi,400,300
2026-02-03,Monitor,Electronics,9,15000,Bangalore,11000,4000
